axis,level,seed,estimator,est,se,target,identity_diff,first_stage_F
sites,2,18,pooled,0.3299930931015336,0.03957592150706264,0.3,5.551115123125783e-17,773.9580050020517
sites,2,18,fedmr_cf,0.3208891721654731,0.04261987183325457,0.3,5.551115123125783e-17,773.9580050020517
sites,2,18,site_meta,0.3307834389877207,0.03974030284117632,0.3,5.551115123125783e-17,773.9580050020517
sites,2,18,sumstats,0.3280402009103244,0.04192579104141457,0.3,5.551115123125783e-17,773.9580050020517
sites,2,19,pooled,0.30550189068297356,0.0466130201605433,0.3,5.551115123125783e-17,586.2631034132903
sites,2,19,fedmr_cf,0.3059151994969631,0.05073436150452839,0.3,5.551115123125783e-17,586.2631034132903
sites,2,19,site_meta,0.30075736655302365,0.045345272609180476,0.3,5.551115123125783e-17,586.2631034132903
sites,2,19,sumstats,0.2968804708807215,0.04799513509535043,0.3,5.551115123125783e-17,586.2631034132903
sites,2,20,pooled,0.28853063496673165,0.04126740819402115,0.3,1.1102230246251565e-16,772.4302458962314
sites,2,20,fedmr_cf,0.2901625015076927,0.0435933832886696,0.3,1.1102230246251565e-16,772.4302458962314
sites,2,20,site_meta,0.28887249740276655,0.040970567765724525,0.3,1.1102230246251565e-16,772.4302458962314
sites,2,20,sumstats,0.2854501635495566,0.04338098771031349,0.3,1.1102230246251565e-16,772.4302458962314
sites,2,21,pooled,0.4107704773894783,0.04782342083464115,0.29999999999999993,1.1102230246251565e-16,495.74935150847415
sites,2,21,fedmr_cf,0.4288496092773708,0.0541838534280959,0.29999999999999993,1.1102230246251565e-16,495.74935150847415
sites,2,21,site_meta,0.41053357617285247,0.048026595800693975,0.29999999999999993,1.1102230246251565e-16,495.74935150847415
sites,2,21,sumstats,0.41284615701629807,0.051598119131314936,0.29999999999999993,1.1102230246251565e-16,495.74935150847415
sites,2,22,pooled,0.3384691251376654,0.063116045369768,0.3,6.106226635438361e-16,276.281879259096
sites,2,22,fedmr_cf,0.3369005804559719,0.07717109205255765,0.3,6.106226635438361e-16,276.281879259096
sites,2,22,site_meta,0.33894684994045254,0.06309308871547036,0.3,6.106226635438361e-16,276.281879259096
sites,2,22,sumstats,0.33796118053484353,0.06672432028379485,0.3,6.106226635438361e-16,276.281879259096
sites,2,23,pooled,0.2310801263125565,0.0802114136142961,0.3,3.608224830031759e-16,188.88254854153047
sites,2,23,fedmr_cf,0.16139434523984544,0.1027961745522506,0.3,3.608224830031759e-16,188.88254854153047
sites,2,23,site_meta,0.2452713609299176,0.07941960058809208,0.3,3.608224830031759e-16,188.88254854153047
sites,2,23,sumstats,0.2267765344715398,0.08312318492206983,0.3,3.608224830031759e-16,188.88254854153047
sites,2,24,pooled,0.32160435863978837,0.04963234920525557,0.3,5.551115123125783e-17,480.81254582384287
sites,2,24,fedmr_cf,0.301709934231089,0.0553748353104733,0.3,5.551115123125783e-17,480.81254582384287
sites,2,24,site_meta,0.3215798518443723,0.04967188874143583,0.3,5.551115123125783e-17,480.81254582384287
sites,2,24,sumstats,0.31964604236182564,0.05345917454294765,0.3,5.551115123125783e-17,480.81254582384287
sites,2,25,pooled,0.3007653354657913,0.037014990521040445,0.3,2.220446049250313e-16,925.9782347194368
sites,2,25,fedmr_cf,0.2975957563893821,0.03944785842720026,0.3,2.220446049250313e-16,925.9782347194368
sites,2,25,site_meta,0.30006150653154423,0.03690536690169542,0.3,2.220446049250313e-16,925.9782347194368
sites,2,25,sumstats,0.3003085777096593,0.03900966717820715,0.3,2.220446049250313e-16,925.9782347194368
sites,2,26,pooled,0.30541133330358744,0.05674160571841791,0.3,0.0,368.21924770811006
sites,2,26,fedmr_cf,0.30069597842571155,0.06440384523996959,0.3,0.0,368.21924770811006
sites,2,26,site_meta,0.3055934858581661,0.05724023246533919,0.3,0.0,368.21924770811006
sites,2,26,sumstats,0.3079488028402134,0.05990341627306311,0.3,0.0,368.21924770811006
sites,2,27,pooled,0.3217629492518242,0.05276030384603953,0.3,2.220446049250313e-16,458.16845136057964
sites,2,27,fedmr_cf,0.3121581349621491,0.05771212839964511,0.3,2.220446049250313e-16,458.16845136057964
sites,2,27,site_meta,0.32060172767055356,0.05311262711138368,0.3,2.220446049250313e-16,458.16845136057964
