site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2
site09,0,global,6739,1685,1.2826780080795288,1.2826780080795288,0.9033834338188172,-0.1349718570709228,0.0352690201469616
site09,0,local,6739,1685,1.1058193445205688,1.1058193445205688,0.8321194648742676,0.0215207338333129,0.0352690201469616
site09,1,global,6739,1685,1.1078124046325684,1.1078124046325684,0.8314937353134155,0.0197572112083435,0.0352690201469616
site09,1,local,6739,1685,1.100734829902649,1.100734829902649,0.8294866681098938,0.026019811630249,0.0352690201469616
site09,2,global,6739,1685,1.1034454107284546,1.1034454107284546,0.8307029604911804,0.0236213207244873,0.0352690201469616
site09,2,local,6739,1685,1.1002615690231323,1.1002615690231323,0.8297399282455444,0.0264385938644409,0.0352690201469616
site09,3,global,6739,1685,1.1007423400878906,1.1007423400878906,0.8296507000923157,0.0260131359100341,0.0352690201469616
site09,3,local,6739,1685,1.1013962030410769,1.1013962030410769,0.8295366168022156,0.0254346132278442,0.0352690201469616
site09,4,global,6739,1685,1.1053389310836792,1.1053389310836792,0.8315316438674927,0.0219458937644958,0.0352690201469616
site09,4,local,6739,1685,1.0961949825286863,1.0961949825286863,0.827691912651062,0.0300368070602417,0.0352690201469616
site10,0,global,7504,1876,1.26728093624115,1.26728093624115,0.8856249451637268,-0.2284700870513916,0.082569773232602
site10,0,local,7504,1876,0.9987597465515136,0.9987597465515136,0.7943780422210693,0.0318275094032287,0.082569773232602
site10,1,global,7504,1876,0.9993820786476136,0.9993820786476136,0.7950518131256104,0.031224250793457,0.082569773232602
site10,1,local,7504,1876,0.9948140382766724,0.9948140382766724,0.7907806038856506,0.0356523990631103,0.082569773232602
site10,2,global,7504,1876,0.9908497333526612,0.9908497333526612,0.7910878658294678,0.0394952893257141,0.082569773232602
site10,2,local,7504,1876,0.987147092819214,0.987147092819214,0.7883937954902649,0.0430845618247985,0.082569773232602
site10,3,global,7504,1876,0.9872891902923584,0.9872891902923584,0.790049135684967,0.0429467558860778,0.082569773232602
site10,3,local,7504,1876,0.98793363571167,0.98793363571167,0.7901337742805481,0.042322039604187,0.082569773232602
site10,4,global,7504,1876,0.9860014915466307,0.9860014915466307,0.7894895076751709,0.0441950559616088,0.082569773232602
site10,4,local,7504,1876,1.0159047842025757,1.0159047842025757,0.7988042831420898,0.0152075290679931,0.082569773232602
