site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2,xhat_sd
site06,0,local,4503,1126,1.2968312501907349,1.2968312501907349,0.9180539846420288,0.1028302907943725,0.0426912030400241,0.2053330838680267
site06,1,global,4503,1126,1.2810837030410769,1.2810837030410769,0.9110608100891112,0.1137247085571289,0.0426912030400241,0.2053330838680267
site06,1,local,4503,1126,1.2689440250396729,1.2689440250396729,0.908864974975586,0.1221231818199157,0.0426912030400241,0.2053330838680267
site06,2,global,4503,1126,1.2812247276306152,1.2812247276306152,0.912976324558258,0.1136271357536315,0.0426912030400241,0.2053330838680267
site06,2,local,4503,1126,1.2608762979507446,1.2608762979507446,0.9066216349601746,0.1277045011520385,0.0426912030400241,0.2053330838680267
site06,3,global,4503,1126,1.2555453777313232,1.2555453777313232,0.9037998914718628,0.1313925385475158,0.0426912030400241,0.2053330838680267
site06,3,local,4503,1126,1.2510676383972168,1.2510676383972168,0.9015029668807985,0.1344903111457824,0.0426912030400241,0.2053330838680267
site06,4,global,4503,1126,1.2540857791900637,1.2540857791900637,0.903221309185028,0.1324023008346557,0.0426912030400241,0.2053330838680267
site06,4,local,4503,1126,1.2439111471176147,1.2439111471176147,0.8938924670219421,0.1394413113594055,0.0426912030400241,0.2053330838680267
site06,5,global,4503,1126,1.246240496635437,1.246240496635437,0.8993195295333862,0.1378297805786132,0.0426912030400241,0.2053330838680267
site07,0,global,5712,1429,2.187443971633911,2.187443971633911,1.1565725803375244,-0.8499679565429688,0.1327346101369243,0.369501531124115
site07,0,local,5712,1429,1.1369935274124146,1.1369935274124146,0.853897750377655,0.0384203791618347,0.1327346101369243,0.369501531124115
site07,1,global,5712,1429,1.1331549882888794,1.1331549882888794,0.8528105616569519,0.0416666865348815,0.1327346101369243,0.369501531124115
site07,1,local,5712,1429,1.0749467611312866,1.0749467611312866,0.8297193646430969,0.0908945798873901,0.1327346101369243,0.369501531124115
site07,2,global,5712,1429,1.0957231521606443,1.0957231521606443,0.8386257886886597,0.0733235478401184,0.1327346101369243,0.369501531124115
site07,2,local,5712,1429,1.0734965801239014,1.0734965801239014,0.8295302987098694,0.0921210646629333,0.1327346101369243,0.369501531124115
site07,3,global,5712,1429,1.0774834156036377,1.0774834156036377,0.8319734930992126,0.0887492299079895,0.1327346101369243,0.369501531124115
site07,3,local,5712,1429,1.0526713132858276,1.0526713132858276,0.8210709095001221,0.1097334027290344,0.1327346101369243,0.369501531124115
site07,4,global,5712,1429,1.062717318534851,1.062717318534851,0.8261705040931702,0.1012372970581054,0.1327346101369243,0.369501531124115
site07,4,local,5712,1429,1.0657806396484375,1.0657806396484375,0.828275203704834,0.0986466407775878,0.1327346101369243,0.369501531124115
site07,5,global,5712,1429,1.0524389743804932,1.0524389743804932,0.8215675354003906,0.1099299192428588,0.1327346101369243,0.369501531124115
site08,0,global,6523,1631,2.460282564163208,2.460282564163208,1.2225421667099,-0.8156105279922485,0.1721204910108354,0.4404027163982391
site08,0,local,6523,1631,1.2263648509979248,1.2263648509979248,0.8731176853179932,0.0949816703796386,0.1721204910108354,0.4404027163982391
site08,1,global,6523,1631,1.2531113624572754,1.2531113624572754,0.8866338729858398,0.0752435326576232,0.1721204910108354,0.4404027163982391
site08,1,local,6523,1631,1.1715604066848757,1.1715604066848757,0.8571610450744629,0.1354256272315979,0.1721204910108354,0.4404027163982391
site08,2,global,6523,1631,1.2209612131118774,1.2209612131118774,0.8756117820739746,0.0989693403244018,0.1721204910108354,0.4404027163982391
site08,2,local,6523,1631,1.157160758972168,1.157160758972168,0.851860761642456,0.1460521221160888,0.1721204910108354,0.4404027163982391
site08,3,global,6523,1631,1.189579725265503,1.189579725265503,0.8638992309570312,0.1221278309822082,0.1721204910108354,0.4404027163982391
site08,3,local,6523,1631,1.1536078453063965,1.1536078453063965,0.8520984053611755,0.1486739516258239,0.1721204910108354,0.4404027163982391
site08,4,global,6523,1631,1.1770249605178833,1.1770249605178833,0.8602219820022583,0.1313928961753845,0.1721204910108354,0.4404027163982391
site08,4,local,6523,1631,1.1492822170257568,1.1492822170257568,0.8522278070449829,0.1518661379814148,0.1721204910108354,0.4404027163982391
site08,5,global,6523,1631,1.16679584980011,1.16679584980011,0.8573850989341736,0.1389416456222534,0.1721204910108354,0.4404027163982391
site09,0,global,6739,1685,2.2583439350128174,2.2583439350128174,1.1870993375778198,-0.8657330274581909,0.0352690201469616,0.2022626996040344
site09,0,local,6739,1685,1.2526921033859253,1.2526921033859253,0.8928003907203674,-0.0349127054214477,0.0352690201469616,0.2022626996040344
site09,1,global,6739,1685,1.1048932075500488,1.1048932075500488,0.8303371071815491,0.0871914029121398,0.0352690201469616,0.2022626996040344
site09,1,local,6739,1685,1.256039023399353,1.256039023399353,0.8931892514228821,-0.0376778841018676,0.0352690201469616,0.2022626996040344
site09,2,global,6739,1685,1.1037241220474243,1.1037241220474243,0.8308550119400024,0.0881572961807251,0.0352690201469616,0.2022626996040344
site09,2,local,6739,1685,1.250882863998413,1.250882863998413,0.8914636373519897,-0.03341805934906,0.0352690201469616,0.2022626996040344
site09,3,global,6739,1685,1.0933140516281128,1.0933140516281128,0.8263530135154724,0.0967575907707214,0.0352690201469616,0.2022626996040344
site09,3,local,6739,1685,1.2112817764282229,1.2112817764282229,0.8759171366691589,-0.0007015466690063,0.0352690201469616,0.2022626996040344
site09,4,global,6739,1685,1.0927917957305908,1.0927917957305908,0.8262225985527039,0.0971890091896057,0.0352690201469616,0.2022626996040344
site09,4,local,6739,1685,1.2195155620574951,1.2195155620574951,0.8780906796455383,-0.0075039863586425,0.0352690201469616,0.2022626996040344
site09,5,global,6739,1685,1.09141206741333,1.09141206741333,0.8256350755691528,0.0983288884162902,0.0352690201469616,0.2022626996040344
site10,0,global,7504,1876,2.341597557067871,2.341597557067871,1.1960506439208984,-1.0258944034576416,0.082569773232602,0.2769405543804168
site10,0,local,7504,1876,1.1934406757354736,1.1934406757354736,0.8590421080589294,-0.032536506652832,0.082569773232602,0.2769405543804168
site10,1,global,7504,1876,1.0582436323165894,1.0582436323165894,0.8166115880012512,0.0844327807426452,0.082569773232602,0.2769405543804168
site10,1,local,7504,1876,1.205277442932129,1.205277442932129,0.8621927499771118,-0.0427774190902709,0.082569773232602,0.2769405543804168
site10,2,global,7504,1876,1.039687991142273,1.039687991142273,0.8082922101020813,0.1004866957664489,0.082569773232602,0.2769405543804168
site10,2,local,7504,1876,1.205604910850525,1.205604910850525,0.8620354533195496,-0.0430606603622436,0.082569773232602,0.2769405543804168
site10,3,global,7504,1876,1.018181562423706,1.018181562423706,0.8001464605331421,0.1190935373306274,0.082569773232602,0.2769405543804168
site10,3,local,7504,1876,1.2033798694610596,1.2033798694610596,0.8608415722846985,-0.041135549545288,0.082569773232602,0.2769405543804168
site10,4,global,7504,1876,1.0093863010406494,1.0093863010406494,0.79680997133255,0.1267030239105224,0.082569773232602,0.2769405543804168
site10,4,local,7504,1876,1.185720682144165,1.185720682144165,0.8546491265296936,-0.0258573293685913,0.082569773232602,0.2769405543804168
site10,5,global,7504,1876,1.001168131828308,1.001168131828308,0.7942703366279602,0.133813202381134,0.082569773232602,0.2769405543804168
