site,round,stage,n_train,n_test,loss,accuracy,precision,recall,f1,auc,fs_r2,xhat_sd
site08,5,global,6523,1631,0.6013877987861633,0.700797057020233,0.5172413793103449,0.0612244897959183,0.1094890510948905,0.5830885903879518,0.1725264147713616,0.4422124624252319
site09,0,global,6739,1685,0.658578097820282,0.6985163204747774,0.0,0.0,0.0,0.5607535172164652,0.0479071210831048,0.1943627744913101
site09,0,local,6739,1685,0.6062527298927307,0.6985163204747774,0.0,0.0,0.0,0.5496591494457416,0.0479071210831048,0.1943627744913101
site09,1,global,6739,1685,0.604250967502594,0.7056379821958457,0.6363636363636364,0.0551181102362204,0.1014492753623188,0.5580198556318948,0.0479071210831048,0.1943627744913101
site09,1,local,6739,1685,0.6052983999252319,0.7062314540059347,0.6181818181818182,0.0669291338582677,0.1207815275310834,0.5585132359729461,0.0479071210831048,0.1943627744913101
site09,2,global,6739,1685,0.6045842170715332,0.7062314540059347,0.5915492957746479,0.0826771653543307,0.1450777202072538,0.5580967895155842,0.0479071210831048,0.1943627744913101
site09,2,local,6739,1685,0.604393720626831,0.7020771513353116,0.75,0.0177165354330708,0.0346153846153846,0.5502194288160879,0.0479071210831048,0.1943627744913101
site09,3,global,6739,1685,0.6045326590538025,0.7050445103857567,0.6037735849056604,0.0629921259842519,0.1140819964349376,0.5532633346490142,0.0479071210831048,0.1943627744913101
site09,3,local,6739,1685,0.6037315726280212,0.7038575667655786,0.6216216216216216,0.0452755905511811,0.0844036697247706,0.5557034767425524,0.0479071210831048,0.1943627744913101
site09,4,global,6739,1685,0.6047870516777039,0.7062314540059347,0.5915492957746479,0.0826771653543307,0.1450777202072538,0.5561307942921748,0.0479071210831048,0.1943627744913101
site09,4,local,6739,1685,0.6044921278953552,0.7044510385756677,0.65625,0.0413385826771653,0.0777777777777777,0.5500521812428503,0.0479071210831048,0.1943627744913101
site09,5,global,6739,1685,0.6057798862457275,0.7062314540059347,0.5915492957746479,0.0826771653543307,0.1450777202072538,0.5550328139738692,0.0479071210831048,0.1943627744913101
site10,0,global,7504,1876,0.6600679755210876,0.6950959488272921,0.0,0.0,0.0,0.5777710594620104,0.0732112319789289,0.2827805578708648
site10,0,local,7504,1876,0.6015353202819824,0.6998933901918977,0.5454545454545454,0.0944055944055944,0.1609538002980625,0.5837156516796088,0.0732112319789289,0.2827805578708648
site10,1,global,7504,1876,0.6008928418159485,0.7046908315565032,0.6730769230769231,0.0611888111888111,0.1121794871794871,0.5841185271783431,0.0732112319789289,0.2827805578708648
site10,1,local,7504,1876,0.6008347868919373,0.7046908315565032,0.6363636363636364,0.0734265734265734,0.1316614420062695,0.5846568117465356,0.0732112319789289,0.2827805578708648
site10,2,global,7504,1876,0.6007428765296936,0.7062899786780383,0.6363636363636364,0.0856643356643356,0.1510015408320493,0.5839616671671886,0.0732112319789289,0.2827805578708648
site10,2,local,7504,1876,0.6011888980865479,0.7041577825159915,0.6808510638297872,0.0559440559440559,0.1033925686591276,0.5920788375734695,0.0732112319789289,0.2827805578708648
site10,3,global,7504,1876,0.6003358960151672,0.7057569296375267,0.6724137931034483,0.0681818181818181,0.1238095238095238,0.5888672293963706,0.0732112319789289,0.2827805578708648
site10,3,local,7504,1876,0.6015623211860657,0.6998933901918977,0.5436893203883495,0.0979020979020979,0.1659259259259259,0.585943197906388,0.0732112319789289,0.2827805578708648
site10,4,global,7504,1876,0.6006221175193787,0.7014925373134329,0.5681818181818182,0.0874125874125874,0.1515151515151515,0.5856133896778069,0.0732112319789289,0.2827805578708648
site10,4,local,7504,1876,0.6004823446273804,0.7057569296375267,0.631578947368421,0.0839160839160839,0.1481481481481481,0.587569447423742,0.0732112319789289,0.2827805578708648
site10,5,global,7504,1876,0.6010992527008057,0.7025586353944563,0.5813953488372093,0.0874125874125874,0.1519756838905775,0.5865183512806212,0.0732112319789289,0.2827805578708648
