site,round,stage,n_train,n_test,loss,c_index,events,fs_r2
site06,0,global,4503,1126,6.430028915405273,0.3871741518578352,669.0,0.0406298012662819
site06,0,local,4503,1126,6.136692523956299,0.6162558966074313,669.0,0.0406298012662819
site06,1,global,4503,1126,6.136000633239746,0.6166668820678514,669.0,0.0406298012662819
site06,1,local,4503,1126,6.151239395141602,0.6145525040387723,669.0,0.0406298012662819
site06,2,global,4503,1126,6.135467052459717,0.6181789983844911,669.0,0.0406298012662819
site06,2,local,4503,1126,6.1347975730896,0.6186132471728595,669.0,0.0406298012662819
site06,3,global,4503,1126,6.134356021881104,0.6189906300484652,669.0,0.0406298012662819
site06,3,local,4503,1126,6.14641809463501,0.6189415185783522,669.0,0.0406298012662819
site06,4,global,4503,1126,6.134369373321533,0.6190914378029079,669.0,0.0406298012662819
site06,4,local,4503,1126,6.136655807495117,0.6191819063004846,669.0,0.0406298012662819
site07,0,global,5712,1429,6.648952960968018,0.3945438377761099,885.0,0.1306931199914339
site07,0,local,5712,1429,6.387118339538574,0.6022460204567556,885.0,0.1306931199914339
site07,1,global,5712,1429,6.3838958740234375,0.598618236625822,885.0,0.1306931199914339
site07,1,local,5712,1429,6.380682945251465,0.5997062635521767,885.0,0.1306931199914339
site07,2,global,5712,1429,6.37864351272583,0.6020734156185803,885.0,0.1306931199914339
site07,2,local,5712,1429,6.373764991760254,0.6057982896709875,885.0,0.1306931199914339
site07,3,global,5712,1429,6.373969554901123,0.6052126661128928,885.0,0.1306931199914339
site07,3,local,5712,1429,6.371598243713379,0.6072823830563694,885.0,0.1306931199914339
site07,4,global,5712,1429,6.371576309204102,0.6066613138618637,885.0,0.1306931199914339
site07,4,local,5712,1429,6.3685150146484375,0.6088866833826233,885.0,0.1306931199914339
site08,0,global,6523,1631,6.781280517578125,0.4078983766206313,988.0,0.1981097044487592
site08,0,local,6523,1631,6.509484767913818,0.6053022259105312,988.0,0.1981097044487592
site08,1,global,6523,1631,6.514494895935059,0.6056271675357949,988.0,0.1981097044487592
site08,1,local,6523,1631,6.502810001373291,0.6104396858817092,988.0,0.1981097044487592
