site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2
site04,2,global,3644,912,1.3678926229476929,1.3678926229476929,0.9336649775505066,0.0053973793983459,0.080704962135807
site04,2,local,3644,912,1.3809707164764404,1.3809707164764404,0.9379185438156128,-0.0041117668151855,0.080704962135807
site04,3,global,3644,912,1.3678251504898071,1.3678251504898071,0.933888018131256,0.005446434020996,0.080704962135807
site04,3,local,3644,912,1.3787236213684082,1.3787236213684082,0.9377402663230896,-0.0024778842926025,0.080704962135807
site04,4,global,3644,912,1.368823766708374,1.368823766708374,0.9341592788696288,0.0047203302383422,0.080704962135807
site04,4,local,3644,912,1.375495672225952,1.375495672225952,0.9362494349479676,-0.0001307725906372,0.080704962135807
site05,0,global,3704,927,1.406121850013733,1.406121850013733,0.9334912896156312,-0.0497781038284301,0.0485916888375729
site05,0,local,3704,927,1.343958854675293,1.343958854675293,0.9170348644256592,-0.0033686161041259,0.0485916888375729
site05,1,global,3704,927,1.3366496562957764,1.3366496562957764,0.91489839553833,0.0020882487297058,0.0485916888375729
site05,1,local,3704,927,1.3383855819702148,1.3383855819702148,0.9163848757743835,0.0007922053337097,0.0485916888375729
site05,2,global,3704,927,1.3366475105285645,1.3366475105285645,0.9151813983917236,0.0020897984504699,0.0485916888375729
site05,2,local,3704,927,1.339391589164734,1.339391589164734,0.9174605011940002,4.118680953979492e-05,0.0485916888375729
site05,3,global,3704,927,1.336603045463562,1.336603045463562,0.9153390526771544,0.0021230578422546,0.0485916888375729
site05,3,local,3704,927,1.3380818367004397,1.3380818367004397,0.916592538356781,0.00101900100708,0.0485916888375729
site05,4,global,3704,927,1.3366981744766235,1.3366981744766235,0.9151002764701844,0.0020519495010375,0.0485916888375729
site05,4,local,3704,927,1.3370884656906128,1.3370884656906128,0.9156228303909302,0.0017606616020202,0.0485916888375729
site06,0,global,4503,1126,1.5290549993515017,1.5290549993515017,0.9873914122581482,-0.0578260421752929,0.0426912030400241
site06,0,local,4503,1126,1.4430501461029053,1.4430501461029053,0.9719754457473756,0.0016735792160034,0.0426912030400241
site06,1,global,4503,1126,1.4436653852462769,1.4436653852462769,0.9688100814819336,0.0012479424476623,0.0426912030400241
site06,1,local,4503,1126,1.4434949159622192,1.4434949159622192,0.971358597278595,0.0013659000396728,0.0426912030400241
site06,2,global,4503,1126,1.4422805309295654,1.4422805309295654,0.9695581197738647,0.0022060871124267,0.0426912030400241
site06,2,local,4503,1126,1.4439332485198977,1.4439332485198977,0.9711104035377502,0.0010626316070556,0.0426912030400241
site06,3,global,4503,1126,1.4421935081481934,1.4421935081481934,0.9691808223724364,0.0022662281990051,0.0426912030400241
site06,3,local,4503,1126,1.443098783493042,1.443098783493042,0.9695916771888732,0.00163996219635,0.0426912030400241
site06,4,global,4503,1126,1.4428776502609253,1.4428776502609253,0.969285011291504,0.0017929673194885,0.0426912030400241
site06,4,local,4503,1126,1.4425009489059448,1.4425009489059448,0.969294548034668,0.0020534992218017,0.0426912030400241
site07,0,global,5712,1429,1.2411832809448242,1.2411832809448242,0.8883018493652344,-0.0496951341629028,0.1327346101369241
site07,0,local,5712,1429,1.1838994026184082,1.1838994026184082,0.872743546962738,-0.0012489557266235,0.1327346101369241
