suite,scenario,dataset,seed,x,f
combined,clean,quadratic,5,2.0,1.2735554026439786
combined,clean,quadratic,5,2.0999999046325684,1.3522887276485562
combined,clean,quadratic,5,2.200000047683716,1.4305964754894374
combined,clean,quadratic,5,2.299999952316284,1.5089041041210294
combined,clean,quadratic,5,2.400000095367432,1.5872119711712003
combined,clean,quadratic,5,2.5,1.665519599802792
combined,clean,quadratic,5,2.5999999046325684,1.7438272284343839
combined,clean,quadratic,5,2.700000047683716,1.8221349762752657
combined,clean,quadratic,5,2.799999952316284,1.9004426049068575
combined,clean,quadratic,5,2.900000095367432,1.9787503527477384
combined,clean,quadratic,5,3.0,2.0570581005886197
combined,clean,quadratic,7,-3.0,0.1481185369193554
combined,clean,quadratic,7,-2.900000095367432,0.1320901028811932
combined,clean,quadratic,7,-2.799999952316284,0.1160616241395474
combined,clean,quadratic,7,-2.700000047683716,0.1000331901013852
combined,clean,quadratic,7,-2.5999999046325684,0.0836509577929974
combined,clean,quadratic,7,-2.5,0.0656390227377415
combined,clean,quadratic,7,-2.400000095367432,0.0476271770894528
combined,clean,quadratic,7,-2.299999952316284,0.029615264385938707
combined,clean,quadratic,7,-2.200000047683716,0.0116033852100373
combined,clean,quadratic,7,-2.0999999046325684,-0.006408512592315601
combined,clean,quadratic,7,-2.0,-0.0244203815236687
combined,clean,quadratic,7,-1.899999976158142,-0.0424513518810271
combined,clean,quadratic,7,-1.7999999523162842,-0.0612176135182379
combined,clean,quadratic,7,-1.7000000476837158,-0.0812771767377852
combined,clean,quadratic,7,-1.600000023841858,-0.1013367809355258
combined,clean,quadratic,7,-1.5,-0.121396381407976
combined,clean,quadratic,7,-1.399999976158142,-0.13692863658070553
combined,clean,quadratic,7,-1.2999999523162842,-0.1441718898713587
combined,clean,quadratic,7,-1.2000000476837158,-0.15124646201729763
combined,clean,quadratic,7,-1.100000023841858,-0.1568782962858676
combined,clean,quadratic,7,-1.0,-0.1541522629559039
combined,clean,quadratic,7,-0.8999999761581421,-0.1486519016325473
combined,clean,quadratic,7,-0.800000011920929,-0.1411430127918719
combined,clean,quadratic,7,-0.699999988079071,-0.1336341239511965
combined,clean,quadratic,7,-0.6000000238418579,-0.1247994862496852
combined,clean,quadratic,7,-0.5,-0.1144134961068629
combined,clean,quadratic,7,-0.4000000059604645,-0.1018094904720782
combined,clean,quadratic,7,-0.3000000119209289,-0.0879986807703971
combined,clean,quadratic,7,-0.2000000029802322,-0.059596903622150296
combined,clean,quadratic,7,-0.1000000014901161,-0.026587551459669984
combined,clean,quadratic,7,0.0,0.0
combined,clean,quadratic,7,0.1000000014901161,0.027922287583351198
combined,clean,quadratic,7,0.2000000029802322,0.062159653753042304
combined,clean,quadratic,7,0.3000000119209289,0.0997367464005948
combined,clean,quadratic,7,0.4000000059604645,0.1367379538714886
combined,clean,quadratic,7,0.5,0.1837519966065884
combined,clean,quadratic,7,0.6000000238418579,0.23076609894633301
combined,clean,quadratic,7,0.699999988079071,0.2872888557612897
combined,clean,quadratic,7,0.800000011920929,0.34372420236468315
combined,clean,quadratic,7,0.8999999761581421,0.40604503080248844
combined,clean,quadratic,7,1.0,0.4666658751666546
combined,clean,quadratic,7,1.100000023841858,0.5287645272910596
combined,clean,quadratic,7,1.2000000476837158,0.5949999503791333
combined,clean,quadratic,7,1.2999999523162842,0.661235135048628
combined,clean,quadratic,7,1.399999976158142,0.7274704985320569
combined,clean,quadratic,7,1.5,0.7937058620154859
combined,clean,quadratic,7,1.600000023841858,0.8677565269172193
combined,clean,quadratic,7,1.7000000476837158,0.9462362341582776
combined,clean,quadratic,7,1.7999999523162842,1.0301681570708752
combined,clean,quadratic,7,1.899999976158142,1.1257400326430798
combined,clean,quadratic,7,2.0,1.2223486714065075
combined,clean,quadratic,7,2.0999999046325684,1.3189571909606457
combined,clean,quadratic,7,2.200000047683716,1.415565948933363
combined,clean,quadratic,7,2.299999952316284,1.5121745876967907
combined,clean,quadratic,7,2.400000095367432,1.6063922457396984
combined,clean,quadratic,7,2.5,1.6981497816741467
combined,clean,quadratic,7,2.5999999046325684,1.7899073176085945
combined,clean,quadratic,7,2.700000047683716,1.8816652111709122
combined,clean,quadratic,7,2.799999952316284,1.97342274710536
combined,clean,quadratic,7,2.900000095367432,2.0651805214583874
combined,clean,quadratic,7,3.0,2.1569380573928356
combined,clean,quadratic,8,-3.0,0.09396474808454519
combined,clean,quadratic,8,-2.900000095367432,0.072710432112217
combined,clean,quadratic,8,-2.799999952316284,0.0514560043811799
combined,clean,quadratic,8,-2.700000047683716,0.0302016884088517
combined,clean,quadratic,8,-2.5999999046325684,0.0103722363710404
combined,clean,quadratic,8,-2.5,-0.0067882314324379
combined,clean,quadratic,8,-2.400000095367432,-0.023948661983013098
combined,clean,quadratic,8,-2.299999952316284,-0.041109189391135996
combined,clean,quadratic,8,-2.200000047683716,-0.0582696571946143
combined,clean,quadratic,8,-2.0999999046325684,-0.0754301622509955
combined,clean,quadratic,8,-2.0,-0.09259059280157081
combined,clean,quadratic,8,-1.899999976158142,-0.109751097857952
combined,clean,quadratic,8,-1.7999999523162842,-0.1269116029143332
combined,clean,quadratic,8,-1.7000000476837158,-0.1440797075629233
combined,clean,quadratic,8,-1.600000023841858,-0.1628029644489287
combined,clean,quadratic,8,-1.5,-0.1758696436882018
combined,clean,quadratic,8,-1.399999976158142,-0.1798446774482726
combined,clean,quadratic,8,-1.2999999523162842,-0.1838197112083434
combined,clean,quadratic,8,-1.2000000476837158,-0.187794655561447
combined,clean,quadratic,8,-1.100000023841858,-0.19176965951919542
combined,clean,quadratic,8,-1.0,-0.1924916505813597
combined,clean,quadratic,8,-0.8999999761581421,-0.1856473982334136
combined,clean,quadratic,8,-0.800000011920929,-0.1786872446537017
combined,clean,quadratic,8,-0.699999988079071,-0.1716992259025572
combined,clean,quadratic,8,-0.6000000238418579,-0.1646845042705535
combined,clean,quadratic,8,-0.5,-0.1542464494705199
combined,clean,quadratic,8,-0.4000000059604645,-0.1385211423039435
combined,clean,quadratic,8,-0.3000000119209289,-0.1189807429909705
combined,clean,quadratic,8,-0.2000000029802322,-0.0778863951563834
combined,clean,quadratic,8,-0.1000000014901161,-0.036792039871215695
combined,clean,quadratic,8,0.0,0.0
combined,clean,quadratic,8,0.1000000014901161,0.0355960726737977
combined,clean,quadratic,8,0.2000000029802322,0.07019312679767611
combined,clean,quadratic,8,0.3000000119209289,0.1099577993154526
combined,clean,quadratic,8,0.4000000059604645,0.1459786295890809
combined,clean,quadratic,8,0.5,0.18475961685180667
combined,clean,quadratic,8,0.6000000238418579,0.2417953312397004
combined,clean,quadratic,8,0.699999988079071,0.30652225017547613
combined,clean,quadratic,8,0.800000011920929,0.37456214427948
combined,clean,quadratic,8,0.8999999761581421,0.4381273686885834
combined,clean,quadratic,8,1.0,0.49796831607818615
combined,clean,quadratic,8,1.100000023841858,0.55838280916214
combined,clean,quadratic,8,1.2000000476837158,0.621825933456421
combined,clean,quadratic,8,1.2999999523162842,0.681629776954651
combined,clean,quadratic,8,1.399999976158142,0.7392091751098634
combined,clean,quadratic,8,1.5,0.8117154836654664
combined,clean,quadratic,8,1.600000023841858,0.902019023895264
combined,clean,quadratic,8,1.7000000476837158,0.9958160519599916
combined,clean,quadratic,8,1.7999999523162842,1.0909937024116516
combined,clean,quadratic,8,1.899999976158142,1.1862483620643616
combined,clean,quadratic,8,2.0,1.281503140926361
combined,clean,quadratic,8,2.0999999046325684,1.3768762946128845
combined,clean,quadratic,8,2.200000047683716,1.4740743041038513
combined,clean,quadratic,8,2.299999952316284,1.5712721943855286
combined,clean,quadratic,8,2.400000095367432,1.668470323085785
combined,clean,quadratic,8,2.5,1.7645366787910461
combined,clean,quadratic,8,2.5999999046325684,1.8590583205223088
combined,clean,quadratic,8,2.700000047683716,1.9535803198814388
combined,clean,quadratic,8,2.799999952316284,2.0481019616127014
combined,clean,quadratic,8,2.900000095367432,2.1426239609718327
combined,clean,quadratic,8,3.0,2.237145960330963
combined,clean,quadratic,3,-3.0,0.2539946772158146
combined,clean,quadratic,3,-2.900000095367432,0.2360038347542286
combined,clean,quadratic,3,-2.799999952316284,0.2180130369961261
combined,clean,quadratic,3,-2.700000047683716,0.1902866698801517
combined,clean,quadratic,3,-2.5999999046325684,0.1612910516560077
combined,clean,quadratic,3,-2.5,0.1322955228388309
combined,clean,quadratic,3,-2.400000095367432,0.10330004617571831
combined,clean,quadratic,3,-2.299999952316284,0.0743044428527355
combined,clean,quadratic,3,-2.200000047683716,0.04530889913439749
combined,clean,quadratic,3,-2.0999999046325684,0.0163132920861245
combined,clean,quadratic,3,-2.0,-0.0126822553575038
combined,clean,quadratic,3,-1.899999976158142,-0.042193438857793794
combined,clean,quadratic,3,-1.7999999523162842,-0.07608650252223009
combined,clean,quadratic,3,-1.7000000476837158,-0.0991232804954052
combined,clean,quadratic,3,-1.600000023841858,-0.11759563907980919
combined,clean,quadratic,3,-1.5,-0.1340414248406887
combined,clean,quadratic,3,-1.399999976158142,-0.140193622559309
combined,clean,quadratic,3,-1.2999999523162842,-0.14470560476183889
combined,clean,quadratic,3,-1.2000000476837158,-0.1437369249761104
combined,clean,quadratic,3,-1.100000023841858,-0.14276828989386559
combined,clean,quadratic,3,-1.0,-0.1397040002048015
combined,clean,quadratic,3,-0.8999999761581421,-0.1315673850476741
combined,clean,quadratic,3,-0.800000011920929,-0.1220881603658199
combined,clean,quadratic,3,-0.699999988079071,-0.11260732635855669
combined,clean,quadratic,3,-0.6000000238418579,-0.1031264923512935
combined,clean,quadratic,3,-0.5,-0.0910432152450084
combined,clean,quadratic,3,-0.4000000059604645,-0.0765326730906963
combined,clean,quadratic,3,-0.3000000119209289,-0.06202208623290059
combined,clean,quadratic,3,-0.2000000029802322,-0.043363306671381
combined,clean,quadratic,3,-0.1000000014901161,-0.0233471132814884
combined,clean,quadratic,3,0.0,0.0
combined,clean,quadratic,3,0.1000000014901161,0.035300061106681796
combined,clean,quadratic,3,0.2000000029802322,0.0727206356823444
combined,clean,quadratic,3,0.3000000119209289,0.1112658642232418
combined,clean,quadratic,3,0.4000000059604645,0.1555843539535999
combined,clean,quadratic,3,0.5,0.214659858494997
combined,clean,quadratic,3,0.6000000238418579,0.2737386412918567
combined,clean,quadratic,3,0.699999988079071,0.333171147853136
combined,clean,quadratic,3,0.800000011920929,0.38872315362095833
combined,clean,quadratic,3,0.8999999761581421,0.4404663033783436
combined,clean,quadratic,3,1.0,0.48835577443242073
combined,clean,quadratic,3,1.100000023841858,0.539507944136858
combined,clean,quadratic,3,1.2000000476837158,0.5994466133415699
combined,clean,quadratic,3,1.2999999523162842,0.661364633589983
combined,clean,quadratic,3,1.399999976158142,0.725213784724474
combined,clean,quadratic,3,1.5,0.8095110841095448
combined,clean,quadratic,3,1.600000023841858,0.9016352482140064
combined,clean,quadratic,3,1.7000000476837158,0.9937594719231126
combined,clean,quadratic,3,1.7999999523162842,1.0858835764229298
combined,clean,quadratic,3,1.899999976158142,1.1780078001320362
combined,clean,quadratic,3,2.0,1.269185859709978
combined,clean,quadratic,3,2.0999999046325684,1.3592140264809132
combined,clean,quadratic,3,2.200000047683716,1.4492423124611378
combined,clean,quadratic,3,2.299999952316284,1.5371720381081104
combined,clean,quadratic,3,2.400000095367432,1.6231619901955128
combined,clean,quadratic,3,2.5,1.709151465445757
combined,clean,quadratic,3,2.5999999046325684,1.7951411791145802
combined,clean,quadratic,3,2.700000047683716,1.8811310119926934
combined,clean,quadratic,3,2.799999952316284,1.9671207256615157
combined,clean,quadratic,3,2.900000095367432,2.0531106777489185
combined,clean,quadratic,3,3.0,2.1391001529991627
combined,clean,quadratic,9,-3.0,-0.039910383522510404
combined,clean,quadratic,9,-2.900000095367432,-0.048386968672275404
combined,clean,quadratic,9,-2.799999952316284,-0.0590980276465415
combined,clean,quadratic,9,-2.700000047683716,-0.0738041847944259
combined,clean,quadratic,9,-2.5999999046325684,-0.0885103754699229
combined,clean,quadratic,9,-2.5,-0.1032165251672267
combined,clean,quadratic,9,-2.400000095367432,-0.1179226897656916
combined,clean,quadratic,9,-2.299999952316284,-0.132628884166479
combined,clean,quadratic,9,-2.200000047683716,-0.1473350338637828
combined,clean,quadratic,9,-2.0999999046325684,-0.162077497690916
combined,clean,quadratic,9,-2.0,-0.1768703274428843
combined,clean,quadratic,9,-1.899999976158142,-0.1916631422936915
combined,clean,quadratic,9,-1.7999999523162842,-0.20645601674914352
combined,clean,quadratic,9,-1.7000000476837158,-0.22124884650111187
combined,clean,quadratic,9,-1.600000023841858,-0.23651732131838787
combined,clean,quadratic,9,-1.5,-0.2520189397037028
combined,clean,quadratic,9,-1.399999976158142,-0.2654966078698634
combined,clean,quadratic,9,-1.2999999523162842,-0.2611809782683848
combined,clean,quadratic,9,-1.2000000476837158,-0.2554811649024486
combined,clean,quadratic,9,-1.100000023841858,-0.24978135153651232
combined,clean,quadratic,9,-1.0,-0.24401194974780072
combined,clean,quadratic,9,-0.8999999761581421,-0.2365903072059153
combined,clean,quadratic,9,-0.800000011920929,-0.22857139632105822
combined,clean,quadratic,9,-0.699999988079071,-0.2186222188174724
combined,clean,quadratic,9,-0.6000000238418579,-0.20215394720435131
combined,clean,quadratic,9,-0.5,-0.1811823956668376
combined,clean,quadratic,9,-0.4000000059604645,-0.15961479768157
combined,clean,quadratic,9,-0.3000000119209289,-0.1360236071050166
combined,clean,quadratic,9,-0.2000000029802322,-0.1006903611123561
combined,clean,quadratic,9,-0.1000000014901161,-0.054758835583925095
combined,clean,quadratic,9,0.0,0.0
combined,clean,quadratic,9,0.1000000014901161,0.0545359142124653
