site,round,stage,n_train,n_test,loss,mse,mae,r2,fs_r2,xhat_sd
site08,0,global,6523,1631,1.333441138267517,1.333441138267517,0.9177735447883606,0.0159627199172973,0.1721204910108354,0.4404027163982391
site08,0,local,6523,1631,1.1634540557861328,1.1634540557861328,0.8563317060470581,0.1414078474044799,0.1721204910108354,0.4404027163982391
site08,1,global,6523,1631,1.1850216388702393,1.1850216388702393,0.8648198843002319,0.1254915595054626,0.1721204910108354,0.4404027163982391
site08,1,local,6523,1631,1.1568081378936768,1.1568081378936768,0.8526256680488586,0.1463122367858886,0.1721204910108354,0.4404027163982391
site08,2,global,6523,1631,1.169420838356018,1.169420838356018,0.8577755689620972,0.1370044946670532,0.1721204910108354,0.4404027163982391
site08,2,local,6523,1631,1.151979684829712,1.151979684829712,0.8502461314201355,0.149875521659851,0.1721204910108354,0.4404027163982391
site08,3,global,6523,1631,1.159737229347229,1.159737229347229,0.8541096448898315,0.1441506743431091,0.1721204910108354,0.4404027163982391
site08,3,local,6523,1631,1.153648018836975,1.153648018836975,0.852104127407074,0.1486443877220153,0.1721204910108354,0.4404027163982391
site08,4,global,6523,1631,1.1547729969024658,1.1547729969024658,0.8527966141700745,0.1478140950202942,0.1721204910108354,0.4404027163982391
site08,4,local,6523,1631,1.1513668298721311,1.1513668298721311,0.8522070646286011,0.1503277420997619,0.1721204910108354,0.4404027163982391
