site,round,stage,n_train,n_test,loss,mse,mae,r2
site09,1,local,6739,1685,1.1091666221618652,1.1091666221618652,0.833771288394928,0.0836609005928039
site09,2,global,6739,1685,1.094382405281067,1.094382405281067,0.827766478061676,0.0958749055862426
site09,2,local,6739,1685,1.1028646230697632,1.1028646230697632,0.8305994272232056,0.0888673663139343
site09,3,global,6739,1685,1.0953514575958252,1.0953514575958252,0.8276929259300232,0.0950743556022644
site09,3,local,6739,1685,1.0967453718185425,1.0967453718185425,0.8284866213798523,0.0939227938652038
site09,4,global,6739,1685,1.093605637550354,1.093605637550354,0.827144980430603,0.0965166091918945
site09,4,local,6739,1685,1.1043908596038818,1.1043908596038818,0.831390380859375,0.0876064300537109
site10,0,global,7504,1876,1.2134698629379272,1.2134698629379272,0.8667770624160767,-0.0498652458190918
site10,0,local,7504,1876,1.0034533739089966,1.0034533739089966,0.796328067779541,0.1318360567092895
site10,1,global,7504,1876,0.9883614182472228,0.9883614182472228,0.7890652418136597,0.1448932290077209
site10,1,local,7504,1876,0.9874680042266846,0.9874680042266846,0.7885223627090454,0.1456661820411682
site10,2,global,7504,1876,0.9915456771850586,0.9915456771850586,0.7897087335586548,0.1421383023262024
site10,2,local,7504,1876,0.9897212386131288,0.9897212386131288,0.7906672358512878,0.1437167525291443
site10,3,global,7504,1876,0.9883910417556764,0.9883910417556764,0.7893272042274475,0.1448676586151123
site10,3,local,7504,1876,0.9862000942230223,0.9862000942230223,0.7882259488105774,0.1467632055282592
site10,4,global,7504,1876,0.9860398769378662,0.9860398769378662,0.7884673476219177,0.146901786327362
site10,4,local,7504,1876,1.013771653175354,1.013771653175354,0.7986956238746643,0.1229088902473449
